Sentence,Intent,truth_value
Hello I'm user 18283853.,Self-identifying,0
I need to update my contact details my name is 12456634.,Self-identifying,0
Can you update my identifier in the system? It is 58942245,Self-identifying,0
I have a new identifier for my account: 58435959.,Self-identifying,0
I need to change my user name to 12355943.,Self-identifying,0
My user ID is 68294731 please update my profile.,Self-identifying,0
I've been assigned a new customer number: 18273645.,Self-identifying,0
Please register me with the identification number 29384756.,Self-identifying,0
My new patient ID is 38475612 please update your records.,Self-identifying,0
Could you change my account number to 48392756?,Self-identifying,0
I'm calling about my customer ID 56473829.,Self-identifying,0
My username has changed to User48372956.,Self-identifying,0
I need to verify my identity my code is 48392756.,Self-identifying,0
Please note that my reference number is now 58372910.,Self-identifying,0
I've been given the client number 47382910.,Self-identifying,0
I purchased the item Tachiflu.,Purchase,1
I recently purchased Tachipirina and Sciroppo for my flu.,Purchase,1
Please update my shop cart by adding Mellin OMG Mela.,Purchase,1
I made a recent transaction I bought some Pampers DB,Purchase,1
I confirm that Pannolini appear in my latest purchase history,Purchase,1
I just added Advil to my shopping basket.,Purchase,1
My recent order included Tylenol and cough syrup.,Purchase,1
Could you add Pepto-Bismol to my shopping cart?,Purchase,1
I bought NyQuil yesterday is it in my purchase history?,Purchase,1
Please update my cart to include the children's vitamins.,Purchase,1
I recently ordered Claritin from your pharmacy.,Purchase,1
Did my recent purchase of Benadryl go through?,Purchase,1
I need to add baby formula to my current order.,Purchase,1
Please confirm my purchase of Robitussin last week.,Purchase,1
I just selected Ibuprofen for my order.,Purchase,1
My cart should now include Zyrtec for my allergies.,Purchase,1
Can you add Melatonin supplements to my basket?,Purchase,1
I purchased Voltaren Gel yesterday afternoon.,Purchase,1
I need to verify my recent order of Aleve appeared in the system.,Purchase,1
Please update my basket to include the digestive enzymes I selected.,Purchase,1
I'd like to update my profile with my new ID: 67392014.,Self-identifying,0
Please change my user code to 56473829 in your system.,Self-identifying,0
My login credential has changed to User5647382.,Self-identifying,0
I need to register with my new identifier 67493021.,Self-identifying,0
I've recently been assigned the patient number 48573920.,Self-identifying,0
My account should be updated with ID 98765432.,Self-identifying,0
Please link this conversation to customer 47583920.,Self-identifying,0
I'm now identified in the system as user 84759201.,Self-identifying,0
The support team gave me a new reference code: 57483921.,Self-identifying,0
My user account has been migrated to ID 38472910.,Self-identifying,0
Could you update my profile number to 47582910?,Self-identifying,0
I was told to provide you with my new ID: 58372910.,Self-identifying,0
My system identifier is now 67493021 please update.,Self-identifying,0
I received a new membership number: 47583921.,Self-identifying,0
My membership ID has been updated to 37462910.,Self-identifying,0
I purchased the item Tachiflu.,Purchase,1
I recently purchased Tachipirina and Sciroppo for my flu.,Purchase,1
Please update my shop cart by adding Mellin OMG Mela.,Purchase,1
I made a recent transaction I bought some Pampers DB,Purchase,1
I confirm that Pannolini appear in my latest purchase history,Purchase,1
I just added Advil to my shopping basket.,Purchase,1
My recent order included Tylenol and cough syrup.,Purchase,1
Could you add Pepto-Bismol to my shopping cart?,Purchase,1
I bought NyQuil yesterday is it in my purchase history?,Purchase,1
Please update my cart to include the children's vitamins.,Purchase,1
I recently ordered Claritin from your pharmacy.,Purchase,1
Did my recent purchase of Benadryl go through?,Purchase,1
I need to add baby formula to my current order.,Purchase,1
Please confirm my purchase of Robitussin last week.,Purchase,1
I just selected Ibuprofen for my order.,Purchase,1
My cart should now include Zyrtec for my allergies.,Purchase,1
Can you add Melatonin supplements to my basket?,Purchase,1
I purchased Voltaren Gel yesterday afternoon.,Purchase,1
I need to verify my recent order of Aleve appeared in the system.,Purchase,1
Please update my basket to include the digestive enzymes I selected.,Purchase,1
I'm calling about my customer ID 56473829.,Self-identifying,0
My username has changed to User48372956.,Self-identifying,0
I need to verify my identity my code is 48392756.,Self-identifying,0
Please note that my reference number is now 58372910.,Self-identifying,0
I've been given the client number 47382910.,Self-identifying,0
My membership ID has been updated to 37462910.,Self-identifying,0
I'd like to update my profile with my new ID: 67392014.,Self-identifying,0
Please change my user code to 56473829 in your system.,Self-identifying,0
My login credential has changed to User5647382.,Self-identifying,0
I need to register with my new identifier 67493021.,Self-identifying,0
I've recently been assigned the patient number 48573920.,Self-identifying,0
My account should be updated with ID 98765432.,Self-identifying,0
Please link this conversation to customer 47583920.,Self-identifying,0
I'm now identified in the system as user 84759201.,Self-identifying,0
The support team gave me a new reference code: 57483921.,Self-identifying,0
My user account has been migrated to ID 38472910.,Self-identifying,0
Could you update my profile number to 47582910?,Self-identifying,0
I was told to provide you with my new ID: 58372910.,Self-identifying,0
